0008  NV1 [STG2000X-B Series]
1c22  GP106M [GeForce GTX 1050 Mobile]
1c23  GP106M [GeForce GTX 1060 Mobile Rev. 2]
1c2d  GP106M
1c30  GP106GL [Quadro P2000]
1c31  GP106GL [Quadro P2200]
1c35  GP106M [Quadro P2000 Mobile / DRIVE PX 2 AutoChauffeur]
1c36  GP106 [P106M]
1c60  GP106BM [GeForce GTX 1060 Mobile 6GB]
1c61  GP106BM [GeForce GTX 1050 Ti Mobile]
1c62  GP106BM [GeForce GTX 1050 Mobile]
1c70  GP106GL
1c81  GP107 [GeForce GTX 1050]
1c82  GP107 [GeForce GTX 1050 Ti]
1c83  GP107 [GeForce GTX 1050 3GB]
1c8c  GP107M [GeForce GTX 1050 Ti Mobile]
1c8d  GP107M [GeForce GTX 1050 Mobile]
1c8e  GP107M
1c8f  GP107M [GeForce GTX 1050 Ti Max-Q]
1c90  GP107M [GeForce MX150]
1c91  GP107M [GeForce GTX 1050 3 GB Max-Q]
1c92  GP107M [GeForce GTX 1050 Mobile]
1c94  GP107M [GeForce MX350]
1c96  GP107M [GeForce MX350]
1ca7  GP107GL
1ca8  GP107GL
1caa  GP107GL
1cb1  GP107GL [Quadro P1000]
1cb2  GP107GL [Quadro P600]
1cb3  GP107GL [Quadro P400]
1cb6  GP107GL [Quadro P620]
1cba  GP107GLM [Quadro P2000 Mobile]
1cbb  GP107GLM [Quadro P1000 Mobile]
1cbc  GP107GLM [Quadro P600 Mobile]
1cbd  GP107GLM [Quadro P620]
1ccc  GP107BM [GeForce GTX 1050 Ti Mobile]
1ccd  GP107BM [GeForce GTX 1050 Mobile]
1cfa  GP107GL [Quadro P2000]
1cfb  GP107GL [Quadro P1000]
1d01  GP108 [GeForce GT 1030]
1d02  GP108 [GeForce GT 1010]
1d10  GP108M [GeForce MX150]
1d11  GP108M [GeForce MX230]
1d12  GP108M [GeForce MX150]
1d13  GP108M [GeForce MX250]
1d16  GP108M [GeForce MX330]
1d33  GP108GLM [Quadro P500 Mobile]
1d34  GP108GLM [Quadro P520]
1d52  GP108BM [GeForce MX250]
1d56  GP108BM [GeForce MX330]
1d81  GV100 [TITAN V]
1d83  GV100 [CMP 100-200]
1d84  GV100 [CMP 100-210]
1db0  GV100GL [Tesla GV100 SXM2-16GB SKU 890]
1db1  GV100GL [Tesla V100 SXM2 16GB]
1db2  GV100GL [Tesla V100 DGXS 16GB]
1db3  GV100GL [Tesla V100 FHHL 16GB]
1db4  GV100GL [Tesla V100 PCIe 16GB]
1db5  GV100GL [Tesla V100 SXM2 32GB]
1db6  GV100GL [Tesla V100 PCIe 32GB]
1db7  GV100GL [Tesla V100 DGXS 32GB]
1db8  GV100GL [Tesla V100 SXM3 32GB]
1dba  GV100GL [Quadro GV100]
1dbd  GV100GL [Tesla GV100 DGX1-V]
1dbe  GV100 Engineering Sample
1dc1  GV100 [CMP 100-200]
1df0  GV100GL [Tesla PG500-216]
1df2  GV100GL [Tesla PG503-216]
1df4  GV100 [CMP 100-210]
1df5  GV100GL [Tesla V100 SXM2 16GB]
1df6  GV100GL [Tesla V100S PCIe 32GB]
1e02  TU102 [TITAN RTX]
1e03  TU102 [GeForce RTX 2080 Ti 12GB]
1e04  TU102 [GeForce RTX 2080 Ti]
1e07  TU102 [GeForce RTX 2080 Ti Rev. A]
1e09  TU102 [CMP 50HX]
1e2d  TU102 [GeForce RTX 2080 Ti Engineering Sample]
1e2e  TU102 [GeForce RTX 2080 Ti 12GB Engineering Sample]
1e30  TU102GL [Quadro RTX 6000/8000]
1e35  TU102GL [Tesla T10]
1e36  TU102GL [Quadro RTX 6000]
1e37  TU102GL [Tesla T10 16GB / GRID RTX T10-2/T10-4/T10-8]
1e38  TU102GL [Tesla T40 24GB]
1e3c  TU102GL
1e3d  TU102GL
1e3e  TU102GL
1e78  TU102GL [Quadro RTX 6000/8000]
1e81  TU104 [GeForce RTX 2080 SUPER]
1e82  TU104 [GeForce RTX 2080]
1e84  TU104 [GeForce RTX 2070 SUPER]
1e87  TU104 [GeForce RTX 2080 Rev. A]
1e89  TU104 [GeForce RTX 2060]
1e90  TU104M [GeForce RTX 2080 Mobile]
1e91  TU104M [GeForce RTX 2070 SUPER Mobile / Max-Q]
1e93  TU104M [GeForce RTX 2080 SUPER Mobile / Max-Q]
1eab  TU104M
1eae  TU104M [GeForce GTX 2080 Engineering Sample]
1eb0  TU104GL [Quadro RTX 5000]
1eb1  TU104GL [Quadro RTX 4000]
1eb4  TU104GL [T4G]
1eb5  TU104GLM [Quadro RTX 5000 Mobile / Max-Q]
1eb6  TU104GLM [Quadro RTX 4000 Mobile / Max-Q]
1eb8  TU104GL [Tesla T4]
1eb9  TU104GL
1eba  TU104GL [PG189 SKU600]
1ebe  TU104GL
1ec2  TU104 [GeForce RTX 2070 SUPER]
1ec7  TU104 [GeForce RTX 2070 SUPER]
1ed0  TU104BM [GeForce RTX 2080 Mobile]
1ed1  TU104BM [GeForce RTX 2070 SUPER Mobile / Max-Q]
1ed3  TU104BM [GeForce RTX 2080 SUPER Mobile / Max-Q]
1ef5  TU104GLM [Quadro RTX 5000 Mobile Refresh]
1f02  TU106 [GeForce RTX 2070]
1f03  TU106 [GeForce RTX 2060 12GB]
1f04  TU106
1f06  TU106 [GeForce RTX 2060 SUPER]
1f07  TU106 [GeForce RTX 2070 Rev. A]
1f08  TU106 [GeForce RTX 2060 Rev. A]
1f09  TU106 [GeForce GTX 1660 SUPER]
1f0a  TU106 [GeForce GTX 1650]
1f0b  TU106 [CMP 40HX]
1f10  TU106M [GeForce RTX 2070 Mobile]
1f11  TU106M [GeForce RTX 2060 Mobile]
1f12  TU106M [GeForce RTX 2060 Max-Q]
1f14  TU106M [GeForce RTX 2070 Mobile / Max-Q Refresh]
1f15  TU106M [GeForce RTX 2060 Mobile]
1f2e  TU106M
1f36  TU106GLM [Quadro RTX 3000 Mobile / Max-Q]
1f42  TU106 [GeForce RTX 2060 SUPER]
1f47  TU106 [GeForce RTX 2060 SUPER]
1f50  TU106BM [GeForce RTX 2070 Mobile / Max-Q]
1f51  TU106BM [GeForce RTX 2060 Mobile]
1f54  TU106BM [GeForce RTX 2070 Mobile]
1f55  TU106BM [GeForce RTX 2060 Mobile]
1f76  TU106GLM [Quadro RTX 3000 Mobile Refresh]
1f81  TU117
1f82  TU117 [GeForce GTX 1650]
1f83  TU117 [GeForce GTX 1630]
1f91  TU117M [GeForce GTX 1650 Mobile / Max-Q]
1f92  TU117M [GeForce GTX 1650 Mobile]
1f94  TU117M [GeForce GTX 1650 Mobile]
1f95  TU117M [GeForce GTX 1650 Ti Mobile]
1f96  TU117M [GeForce GTX 1650 Mobile / Max-Q]
1f97  TU117M [GeForce MX450]
1f98  TU117M [GeForce MX450]
1f99  TU117M [GeForce GTX 1650 Mobile / Max-Q]
1f9c  TU117M [GeForce MX450]
1f9d  TU117M [GeForce GTX 1650 Mobile / Max-Q]
1f9f  TU117M [GeForce MX550]
1fa0  TU117M [GeForce MX550]
1fa1  TU117M
1fae  TU117GL
1fb0  TU117GLM [Quadro T1000 Mobile]
1fb1  TU117GL [T600]
1fb2  TU117GLM [Quadro T400 Mobile]
1fb6  TU117GLM [T600 Laptop GPU]
1fb7  TU117GLM [T550 Laptop GPU]
1fb8  TU117GLM [Quadro T2000 Mobile / Max-Q]
1fb9  TU117GLM [Quadro T1000 Mobile]
1fba  TU117GLM [T600 Mobile]
1fbb  TU117GLM [Quadro T500 Mobile]
1fbc  TU117GLM [T1200 Laptop GPU]
1fbf  TU117GL
1fd9  TU117BM [GeForce GTX 1650 Mobile Refresh]
1fdd  TU117BM [GeForce GTX 1650 Mobile Refresh]
1ff0  TU117GL [T1000 8GB]
1ff2  TU117GL [T400 4GB / T400E]
1ff9  TU117GLM [Quadro T1000 Mobile]
2080  GA100
2081  GA100
2082  GA100 [CMP 170HX]
20b0  GA100 [A100 SXM4 40GB]
20b1  GA100 [A100 PCIe 40GB]
20b2  GA100 [A100 SXM4 80GB]
20b3  GA100 [A100-SXM-64GB]
20b4  GA100
20b5  GA100 [A100 PCIe 80GB]
20b6  GA100GL [PG506-232]
20b7  GA100GL [A30 PCIe]
20b8  GA100 [A100X]
20b9  GA100 [A30X]
20bb  GA100 [DRIVE A100 PROD]
20bd  GA100 [A800 SXM4 40GB]
20be  GA100 [GRID A100A]
20bf  GA100 [GRID A100B]
20c0  GA100 [Initial DevID]
20c2  GA100 [CMP 170HX]
20f0  GA100 [A100-PG506-207]
20f1  GA100 [A100 PCIe 40GB]
20f2  GA100 [A100-PG506-217]
20f3  GA100 [A800-SXM4-80GB]
20f5  GA100 [A800 80GB PCIe]
20f6  GA100 [A800 40GB PCIe]
20fd  GA100 [AX800 Converged Accelerator]
20fe  GA100 [INT SKU]
20ff  GA100
2182  TU116 [GeForce GTX 1660 Ti]
2183  TU116
2184  TU116 [GeForce GTX 1660]
2186  TU116 [PG160 SKU18]
2187  TU116 [GeForce GTX 1650 SUPER]
2188  TU116 [GeForce GTX 1650]
2189  TU116 [CMP 30HX]
2191  TU116M [GeForce GTX 1660 Ti Mobile]
2192  TU116M [GeForce GTX 1650 Ti Mobile]
21ae  TU116GL
21bf  TU116GL
21c2  TU116
21c3  TU116
21c4  TU116 [GeForce GTX 1660 SUPER]
21d1  TU116BM [GeForce GTX 1660 Ti Mobile]
2200  GA102
2203  GA102 [GeForce RTX 3090 Ti]
2204  GA102 [GeForce RTX 3090]
2205  GA102 [GeForce RTX 3080 Ti 20GB]
2206  GA102 [GeForce RTX 3080]
2207  GA102 [GeForce RTX 3070 Ti]
2208  GA102 [GeForce RTX 3080 Ti]
220a  GA102 [GeForce RTX 3080 12GB]
220d  GA102 [CMP 90HX]
2216  GA102 [GeForce RTX 3080 Lite Hash Rate]
222b  GA102 [GeForce RTX 3090 Engineering Sample]
222f  GA102 [GeForce RTX 3080 11GB / 12GB Engineering Sample]
2230  GA102GL [RTX A6000]
2231  GA102GL [RTX A5000]
2232  GA102GL [RTX A4500]
2233  GA102GL [RTX A5500]
2235  GA102GL [A40]
2236  GA102GL [A10]
2237  GA102GL [A10G]
2238  GA102GL [A10M]
223f  GA102GL
228b  GA104 High Definition Audio Controller
228e  GA106 High Definition Audio Controller
2291  GA107 High Definition Audio Controller
2296  Tegra PCIe Endpoint Virtual Network
229a  Orin PCIe x8 Root Complex
229c  Orin PCIe x4/x8 Endpoint/Root Complex
229e  Orin PCIe x1 Root Complex
22a3  GH100 [H100 NVSwitch]
22ba  AD102 High Definition Audio Controller
22bb  AD103 High Definition Audio Controller
22bc  AD104 High Definition Audio Controller
22bd  AD106M High Definition Audio Controller
22be  AD107 High Definition Audio Controller
22ce  GB10 GEN5 X4 PCIe host
22d0  GB10 GEN4 X1 PCIe host
22d1  GB20B PCI bridge
22d8  THOR Processor PCI Express Root Port
22e6  THOR Processor PCI Express x16 Controller
22e8  GB202 High Definition Audio Controller
22e9  GB203 High Definition Audio Controller
22eb  GB206 High Definition Audio Controller
22ec  GB207 High Definition Audio Controller
2302  GH100
230c  GH100 [H20 NVL16]
230e  GH100 [H20 NVL16]
2313  GH100 [H100 CNX]
2321  GH100 [H100L 94GB]
2322  GH100 [H800 PCIe]
2324  GH100 [H800]
2328  GH100 [H20B]
2329  GH100 [H20]
232c  GH100 [H20 HBM3e]
2330  GH100 [H100 SXM5 80GB]
2331  GH100 [H100 PCIe]
2335  GH100 [H200 SXM 141GB]
2336  GH100 [H100]
2337  GH100 [H100 SXM5 64GB]
2338  GH100 [H100 SXM5 96GB]
2339  GH100 [H100 SXM5 94GB]
233a  GH100 [H800L 94GB]
233b  GH100 [H200 NVL]
233d  GH100 [H100 96GB]
2342  GH100 [GH200 120GB / 480GB]
2343  GH100
2345  GH100 [GH100-88K-A1]
2348  GH100 [GH200 144G HBM3e]
237e  GH100 [H100 GH3]
237f  GH100 [Skinny Joe]
23b0  GH100
23f0  GH100
2414  GA103 [GeForce RTX 3060 Ti]
2420  GA103M [GeForce RTX 3080 Ti Mobile]
2438  GA103GLM [RTX A5500 Laptop GPU]
2460  GA103M [GeForce RTX 3080 Ti Laptop GPU]
2480  GA104 [Reserved Dev ID A]
2482  GA104 [GeForce RTX 3070 Ti]
2483  GA104
2484  GA104 [GeForce RTX 3070]
2486  GA104 [GeForce RTX 3060 Ti]
2487  GA104 [GeForce RTX 3060]
2488  GA104 [GeForce RTX 3070 Lite Hash Rate]
2489  GA104 [GeForce RTX 3060 Ti Lite Hash Rate]
248a  GA104 [CMP 70HX]
248c  GA104 [GeForce RTX 3070 Ti]
248d  GA104 [GeForce RTX 3070]
248e  GA104 [GeForce RTX 3060 Ti]
249c  GA104M [GeForce RTX 3080 Mobile / Max-Q 8GB/16GB]
249d  GA104M [GeForce RTX 3070 Mobile / Max-Q]
249f  GA104M
24a0  GA104 [Geforce RTX 3070 Ti Laptop GPU]
24a4  GA104M
24ac  GA104 [GeForce RTX 30x0 Engineering Sample]
24ad  GA104 [GeForce RTX 3060 Engineering Sample]
24af  GA104 [GeForce RTX 3070 Engineering Sample]
24b0  GA104GL [RTX A4000]
24b1  GA104GL [RTX A4000H]
24b6  GA104GLM [RTX A5000 Mobile]
24b7  GA104GLM [RTX A4000 Mobile]
24b8  GA104GLM [RTX A3000 Mobile]
24b9  GA104GLM [RTX A3000 12GB Laptop GPU]
24ba  GA104GLM [RTX A4500 Laptop GPU]
24bb  GA104GLM [RTX A3000 Laptop GPU]
24bf  GA104 [GeForce RTX 3070 Engineering Sample]
24c0  GA104 [Initial Dev ID B]
24c7  GA104 [GeForce RTX 3060 8GB]
24c8  GA104 [GeForce RTX 3070 GDDR6X]
24c9  GA104 [GeForce RTX 3060 Ti GDDR6X]
24dc  GA104M [GeForce RTX 3080 Mobile / Max-Q 8GB/16GB]
24dd  GA104M [GeForce RTX 3070 Mobile / Max-Q]
24df  GA104M
24e0  GA104M [Geforce RTX 3070 Ti Laptop GPU]
24fa  GA104 [RTX A4500 Embedded GPU ]
2501  GA106 [GeForce RTX 3060]
2503  GA106 [GeForce RTX 3060]
2504  GA106 [GeForce RTX 3060 Lite Hash Rate]
2505  GA106
2507  GA106 [Geforce RTX 3050]
2508  GA106 [GeForce RTX 3050 OEM]
2509  GA106 [GeForce RTX 3060 12GB Rev. 2]
2520  GA106M [GeForce RTX 3060 Mobile / Max-Q]
2521  GA106M [GeForce RTX 3060 Laptop GPU]
2523  GA106M [GeForce RTX 3050 Ti Mobile / Max-Q]
252f  GA106 [GeForce RTX 3060 Engineering Sample]
2531  GA106 [RTX A2000]
2544  GA106 [GeForce RTX 3060]
2560  GA106M [GeForce RTX 3060 Mobile / Max-Q]
2561  GA106M [GeForce RTX 3060 Laptop GPU]
2563  GA106M [GeForce RTX 3050 Ti Mobile / Max-Q]
2571  GA106 [RTX A2000 12GB]
2582  GA107 [GeForce RTX 3050 8GB]
2583  GA107 [GeForce RTX 3050 4GB]
2584  GA107 [GeForce RTX 3050 6GB]
25a0  GA107M [GeForce RTX 3050 Ti Mobile]
25a2  GA107M [GeForce RTX 3050 Mobile]
25a3  GA107
25a4  GA107
25a5  GA107M [GeForce RTX 3050 Mobile]
25a6  GA107M [GeForce MX570]
25a7  GA107M [GeForce MX570]
25a9  GA107M [GeForce RTX 2050]
25aa  GA107M [GeForce MX570 A]
25ab  GA107M [GeForce RTX 3050 4GB Laptop GPU]
25ac  GA107BM / GN20-P0-R-K2 [GeForce RTX 3050 6GB Laptop GPU]
25ad  GA107 [GeForce RTX 2050]
25af  GA107 [GeForce RTX 3050 Engineering Sample]
25b0  GA107GL [RTX A1000]
25b2  GA107GL [RTX A400]
25b5  GA107GLM [RTX A4 Mobile]
25b6  GA107GL [A2 / A16]
25b8  GA107GLM [RTX A2000 Mobile]
25b9  GA107GLM [RTX A1000 Laptop GPU]
25ba  GA107GLM [RTX A2000 8GB Laptop GPU]
25bb  GA107GLM [RTX A500 Laptop GPU]
25bc  GA107GLM [RTX A1000 6GB Laptop GPU]
25bd  GA107GLM [RTX A500 Laptop GPU]
25e0  GA107BM [GeForce RTX 3050 Ti Mobile]
25e2  GA107BM [GeForce RTX 3050 Mobile]
25e5  GA107BM [GeForce RTX 3050 Mobile]
25ec  GA107BM / GN20-P0-R-K2 [GeForce RTX 3050 6GB Laptop GPU]
25ed  GA107 [GeForce RTX 2050]
25f9  GA107 [RTX A1000 Embedded GPU ]
25fa  GA107 [RTX A2000 Embedded GPU]
25fb  GA107 [RTX A500 Embedded GPU]
2681  AD102 [RTX TITAN Ada]
2684  AD102 [GeForce RTX 4090]
2685  AD102 [GeForce RTX 4090 D]
2689  AD102 [GeForce RTX 4070 Ti SUPER]
26af  AD102 [PG137]
26b1  AD102GL [RTX 6000 Ada Generation]
26b2  AD102GL [RTX 5000 Ada Generation]
26b3  AD102GL [RTX 5880 Ada Generation]
26b5  AD102GL [L40]
26b7  AD102GL [L20]
26b8  AD102GL [L40G]
26b9  AD102GL [L40S]
26ba  AD102GL [L20]
26bb  AD102GL [L30]
26f5  AD102GL [L40 CNX]
2702  AD103 [GeForce RTX 4080 SUPER]
2703  AD103 [GeForce RTX 4080 SUPER]
2704  AD103 [GeForce RTX 4080]
2705  AD103 [GeForce RTX 4070 Ti SUPER]
2709  AD103 [GeForce RTX 4070]
2717  AD103M / GN21-X11 [GeForce RTX 4090 Laptop GPU]
2730  AD103GLM [RTX 5000 Ada Generation Laptop GPU]
2757  AD103M / GN21-X11 [GeForce RTX 4090 Laptop GPU]
2770  AD103GLM [RTX 5000 Ada Generation Embedded GPU]
2782  AD104 [GeForce RTX 4070 Ti]
2783  AD104 [GeForce RTX 4070 SUPER]
2785  AD104 [AC AD104 20GB]
2786  AD104 [GeForce RTX 4070]
2788  AD104 [GeForce RTX 4060 Ti]
27a0  AD104M [GeForce RTX 4080 Max-Q / Mobile]
27b0  AD104GL [RTX 4000 SFF Ada Generation]
27b1  AD104GL [RTX 4500 Ada Generation]
27b2  AD104GL [RTX 4000 Ada Generation]
27b6  AD104GL [L2]
27b7  AD104GL [L16]
27b8  AD104GL [L4]
27ba  AD104GLM [RTX 4000 Ada Generation Laptop GPU]
27bb  AD104GLM [RTX 3500 Ada Generation Laptop GPU]
27e0  AD104M [GeForce RTX 4080 Max-Q / Mobile]
27fa  AD104GLM [RTX 4000 Ada Generation Embedded GPU]
27fb  AD104GLM [RTX 3500 Ada Generation Embedded GPU]
2803  AD106 [GeForce RTX 4060 Ti]
2805  AD106 [GeForce RTX 4060 Ti 16GB]
2808  AD106 [GeForce RTX 4060]
2820  AD106M [GeForce RTX 4070 Max-Q / Mobile]
2822  AD106M [GeForce RTX 3050 A Laptop GPU]
2838  AD106GLM [RTX 3000 Ada Generation Laptop GPU]
2860  AD106M [GeForce RTX 4070 Max-Q / Mobile]
2878  AD106GLM [RTX 3000 Ada Generation Embedded GPU]
2882  AD107 [GeForce RTX 4060]
28a0  AD107M [GeForce RTX 4060 Max-Q / Mobile]
28a1  AD107M [GeForce RTX 4050 Max-Q / Mobile]
28a3  AD107M [GeForce RTX 3050 A Laptop GPU]
28b0  AD107GL [RTX 2000 / 2000E Ada Generation]
28b8  AD107GLM [RTX 2000 Ada Generation Laptop GPU]
28b9  AD107GLM [RTX 1000 Ada Generation Laptop GPU]
28ba  AD107GLM [RTX 500 Ada Generation Laptop GPU]
28bb  AD107GLM [RTX 500 Ada Generation Laptop GPU]
28e0  AD107M [GeForce RTX 4060 Max-Q / Mobile]
28e1  AD107M [GeForce RTX 4050 Max-Q / Mobile]
28e3  AD107M [GeForce RTX 3050 A Laptop GPU]
28f8  AD107GLM [RTX 2000 Ada Generation Embedded GPU]
2900  GB100 [Reserved Dev ID A]
2901  GB100 [B200]
2909  GB100 [B200]
2920  GB100 [TS4 / B100]
2924  GB100
2925  GB100
293d  GB100
2940  GB100 [Reserved Dev ID B]
2941  GB100 [HGX GB200]
297e  GB100
2980  GB102 [Reserved Dev ID A]
29bb  GB102 [DRIVE P2021]
29bc  GB102 [B100]
29c0  GB102 [Reserved Dev ID B]
29f1  GB102
2b00  GB10B [Jetson AGX Thor]
2b85  GB202 [GeForce RTX 5090]
2b87  GB202 [GeForce RTX 5090 D]
2b8c  GB202 [GeForce RTX 5090 D V2]
2bb1  GB202GL [RTX PRO 6000 Blackwell Workstation Edition]
2bb2  GB202GL [RTX PRO 6000D Blackwell Workstation Edition]
2bb3  GB202GL [RTX PRO 5000 Blackwell / RTX PRO 5000 72GB Blackwell]
2bb4  GB202GL [RTX PRO 6000 Blackwell Max-Q Workstation Edition]
2bb5  GB202GL [RTX PRO 6000 Blackwell Server Edition]
2bb9  GB202GL [RTX 6000D]
2bbc  GB202GL [RTX PRO 6000D Blackwell Max-Q Workstation Edition]
2c02  GB203 [GeForce RTX 5080]
2c05  GB203 [GeForce RTX 5070 Ti]
2c18  GB203M / GN22 [GeForce RTX 5090 Max-Q / Mobile]
2c19  GB203M / GN22 [GeForce RTX 5080 Max-Q / Mobile]
2c2c  GB6-256(N22W-ES-A1)
2c31  GB203GL [RTX PRO 4500 Blackwell]
2c33  GB203GL [RTX PRO 4000 Blackwell SFF Edition]
2c34  GB203GL [RTX PRO 4000 Blackwell]
2c38  GB203GLM [RTX PRO 5000 Blackwell Generation Laptop GPU]
2c39  GB203GLM [RTX PRO 4000 Blackwell Generation Laptop GPU]
2c3a  GB203GL [RTX PRO 4500 Blackwell Server Edition]
2c58  GB203M / GN22-X11 [GeForce RTX 5090 Max-Q / Mobile]
2c59  GB203M / GN22-X9 [GeForce RTX 5080 Max-Q / Mobile]
2c77  GB203GLM [RTX PRO 5000 Blackwell Embedded GPU]
2c79  GB203GLM [RTX PRO 4000 Blackwell Embedded GPU]
2d04  GB206 [GeForce RTX 5060 Ti]
2d05  GB206 [GeForce RTX 5060]
2d18  GB206M [GeForce RTX 5070 Max-Q / Mobile]
2d19  GB206M [GeForce RTX 5060 Max-Q / Mobile]
2d2c  GB6-128 (N22Y-ES-A1)
2d30  GB206GL [RTX PRO 2000 Blackwell]
2d39  GB206GLM [RTX PRO 2000 Blackwell Generation Laptop GPU]
2d58  GB206M [GeForce RTX 5070 Max-Q / Mobile]
2d59  GB206M [GeForce RTX 5060 Max-Q / Mobile]
2d79  GB206GLM [RTX PRO 2000 Blackwell Embedded GPU]
2d83  GB207 [GeForce RTX 5050]
2d98  GB207M [GeForce RTX 5050 Max-Q / Mobile]
2db8  GB207GLM [RTX PRO 1000 Blackwell Generation Laptop GPU]
2db9  GB207GLM [RTX PRO 500 Blackwell Generation Laptop GPU]
2dd8  GB207M [GeForce RTX 5050 Max-Q / Mobile]
2df9  GB207GLM [RTX PRO 500 Blackwell Embedded GPU]
2e12  GB20B [GB10]
2e2a  GB20B [JMJWOA-Generic-GPU]
2f04  GB205 [GeForce RTX 5070]
2f18  GB205M [GeForce RTX 5070 Ti Mobile]
2f38  GB205GLM [RTX PRO 3000 Blackwell Generation Laptop GPU]
2f58  GB205M [GeForce RTX 5070 Ti Mobile]
2f80  GB205 High Definition Audio Controller
3180  GB110 [Reserved Dev ID A]
3182  GB110 [B300 SXM6 AC]
31a1  GB110 [GB300 MaxQ]
31c0  GB110 [Reserved Dev ID B]
31c2  GB110 [GB300]
31c3  GB110 [GB300]
31fe  GB110
3200  GB112
3224  GB112
323e  GB112
3340  GB120
